topology,n_reviewers,n_latent_classes,classifier_accuracy,seeding_rate,seed,false_novelty_rate,true_novelty_recall,specificity,balanced_accuracy,consensus_accuracy,mean_agreement,tp,fp,tn,fn
isolated,50,40,0.75,0.05,4,1.0,1.0,0.0,0.5,0.2,0.7384000000000001,40,160,0,0
isolated,50,40,0.75,0.05,5,1.0,1.0,0.0,0.5,0.195,0.7556999999999999,39,161,0,0
isolated,50,40,0.75,0.05,6,0.9625,0.975,0.03749999999999998,0.50625,0.225,0.7365,39,154,6,1
isolated,50,40,0.75,0.05,7,0.975,1.0,0.025000000000000022,0.5125,0.22,0.7469999999999999,40,156,4,0
isolated,50,40,0.75,0.05,8,1.0,1.0,0.0,0.5,0.2,0.7521000000000001,40,160,0,0
isolated,50,40,0.75,0.05,9,1.0,1.0,0.0,0.5,0.2,0.7456999999999999,40,160,0,0
lattice,50,40,0.75,0.05,0,0.26875,0.45,0.73125,0.590625,0.675,0.6216999999999999,18,43,117,22
lattice,50,40,0.75,0.05,1,0.25625,0.4,0.74375,0.571875,0.675,0.6182,16,41,119,24
lattice,50,40,0.75,0.05,2,0.18125,0.5,0.81875,0.659375,0.755,0.6359,20,29,131,20
lattice,50,40,0.75,0.05,3,0.25625,0.45,0.74375,0.596875,0.685,0.6223000000000001,18,41,119,22
lattice,50,40,0.75,0.05,4,0.26875,0.475,0.73125,0.6031249999999999,0.68,0.6521000000000001,19,43,117,21
lattice,50,40,0.75,0.05,5,0.2608695652173913,0.38461538461538464,0.7391304347826086,0.5618729096989966,0.67,0.6073000000000001,15,42,119,24
lattice,50,40,0.75,0.05,6,0.29375,0.4,0.70625,0.5531250000000001,0.645,0.6317,16,47,113,24
lattice,50,40,0.75,0.05,7,0.29375,0.475,0.70625,0.590625,0.66,0.6306,19,47,113,21
lattice,50,40,0.75,0.05,8,0.29375,0.3,0.70625,0.503125,0.625,0.6118000000000001,12,47,113,28
lattice,50,40,0.75,0.05,9,0.3,0.5,0.7,0.6,0.66,0.6154999999999999,20,48,112,20
small_world,50,40,0.75,0.05,0,0.04375,0.075,0.95625,0.515625,0.78,0.7456999999999999,3,7,153,37
small_world,50,40,0.75,0.05,1,0.01875,0.1,0.98125,0.540625,0.805,0.7327999999999999,4,3,157,36
small_world,50,40,0.75,0.05,2,0.04375,0.175,0.95625,0.565625,0.8,0.754,7,7,153,33
small_world,50,40,0.75,0.05,3,0.075,0.2,0.925,0.5625,0.78,0.7378,8,12,148,32
small_world,50,40,0.75,0.05,4,0.05,0.2,0.95,0.575,0.8,0.7428999999999999,8,8,152,32
small_world,50,40,0.75,0.05,5,0.018633540372670808,0.07692307692307693,0.9813664596273292,0.5291447682752031,0.805,0.7256,3,3,158,36
small_world,50,40,0.75,0.05,6,0.0375,0.1,0.9625,0.53125,0.79,0.73,4,6,154,36
small_world,50,40,0.75,0.05,7,0.05,0.075,0.95,0.5125,0.775,0.7246000000000001,3,8,152,37
small_world,50,40,0.75,0.05,8,0.03125,0.075,0.96875,0.521875,0.79,0.7375999999999999,3,5,155,37
small_world,50,40,0.75,0.05,9,0.01875,0.125,0.98125,0.553125,0.81,0.7437,5,3,157,35
shared,50,40,0.75,0.05,0,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,50,40,0.75,0.05,1,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,50,40,0.75,0.05,2,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,50,40,0.75,0.05,3,0.0125,0.025,0.9875,0.50625,0.795,0.99,1,2,158,39
shared,50,40,0.75,0.05,4,0.0,0.025,1.0,0.5125,0.805,0.9920000000000002,1,0,160,39
shared,50,40,0.75,0.05,5,0.0,0.0,1.0,0.5,0.805,0.9921000000000001,0,0,161,39
shared,50,40,0.75,0.05,6,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,50,40,0.75,0.05,7,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,50,40,0.75,0.05,8,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
shared,50,40,0.75,0.05,9,0.0,0.0,1.0,0.5,0.8,1.0,0,0,160,40
