topology,n_reviewers,n_latent_classes,classifier_accuracy,seeding_rate,seed,false_novelty_rate,true_novelty_recall,specificity,balanced_accuracy,consensus_accuracy,mean_agreement,tp,fp,tn,fn
small_world,20,80,0.75,0.05,4,0.29508196721311475,0.5256410256410257,0.7049180327868853,0.6152795292139555,0.635,0.68375,41,36,86,37
small_world,20,80,0.75,0.05,5,0.3464566929133858,0.5205479452054794,0.6535433070866141,0.5870456261460468,0.605,0.6767500000000001,38,44,83,35
small_world,20,80,0.75,0.05,6,0.31007751937984496,0.5492957746478874,0.689922480620155,0.6196091276340212,0.64,0.7042500000000002,39,40,89,32
small_world,20,80,0.75,0.05,7,0.28225806451612906,0.631578947368421,0.717741935483871,0.674660441426146,0.685,0.67825,48,35,89,28
small_world,20,80,0.75,0.05,8,0.42857142857142855,0.5675675675675675,0.5714285714285714,0.5694980694980695,0.57,0.67025,42,54,72,32
small_world,20,80,0.75,0.05,9,0.2440944881889764,0.4657534246575342,0.7559055118110236,0.610829468234279,0.65,0.65875,34,31,96,39
shared,20,80,0.75,0.05,0,0.016,0.13333333333333333,0.984,0.5586666666666666,0.665,0.9359999999999999,10,2,123,65
shared,20,80,0.75,0.05,1,0.008064516129032258,0.039473684210526314,0.9919354838709677,0.515704584040747,0.63,0.9715,3,1,123,73
shared,20,80,0.75,0.05,2,0.015873015873015872,0.0945945945945946,0.9841269841269841,0.5393607893607893,0.655,0.94675,7,2,124,67
shared,20,80,0.75,0.05,3,0.031007751937984496,0.1267605633802817,0.9689922480620154,0.5478764057211486,0.67,0.93475,9,4,125,62
shared,20,80,0.75,0.05,4,0.09016393442622951,0.14102564102564102,0.9098360655737705,0.5254308532997057,0.61,0.9432499999999999,11,11,111,67
shared,20,80,0.75,0.05,5,0.015748031496062992,0.136986301369863,0.984251968503937,0.5606191349369001,0.675,0.9364999999999999,10,2,125,63
shared,20,80,0.75,0.05,6,0.05426356589147287,0.2112676056338028,0.9457364341085271,0.578502019871165,0.685,0.91125,15,7,122,56
shared,20,80,0.75,0.05,7,0.03225806451612903,0.10526315789473684,0.967741935483871,0.5365025466893039,0.64,0.95,8,4,120,68
shared,20,80,0.75,0.05,8,0.031746031746031744,0.0945945945945946,0.9682539682539683,0.5314242814242814,0.645,0.9562499999999998,7,4,122,67
shared,20,80,0.75,0.05,9,0.023622047244094488,0.1643835616438356,0.9763779527559056,0.5703807571998706,0.68,0.93525,12,3,124,61
