topology,n_reviewers,n_latent_classes,classifier_accuracy,seed,false_novelty_rate,true_novelty_recall,consensus_accuracy,mean_agreement,tp,fp,tn,fn
shared,20,40,0.75,8,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.75,9,0.0,0.025,0.805,0.99375,1,0,160,39
shared,20,40,0.9,0,0.0125,0.025,0.795,0.996,1,2,158,39
shared,20,40,0.9,1,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.9,2,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.9,3,0.0125,0.025,0.795,0.997,1,2,158,39
shared,20,40,0.9,4,0.0,0.025,0.805,0.9982500000000001,1,0,160,39
shared,20,40,0.9,5,0.012422360248447204,0.05128205128205128,0.805,0.9894999999999999,2,2,159,37
shared,20,40,0.9,6,0.025,0.05,0.79,0.9907499999999999,2,4,156,38
shared,20,40,0.9,7,0.01875,0.05,0.795,0.99125,2,3,157,38
shared,20,40,0.9,8,0.0,0.0,0.8,1.0,0,0,160,40
shared,20,40,0.9,9,0.0,0.025,0.805,0.99875,1,0,160,39
